Character,Hex,Logic,Type,Name,Braille
קֵּ,05E7+05B5+05BC,186.0,always,letter qof with dagesh,⠐⠟⠌
קֶּ,05E7+05B6+05BC,186.0,always,letter qof with dagesh,⠐⠟⠑
קַּ,05E7+05B7+05BC,186.0,always,letter qof with dagesh,⠐⠟⠉
קָּ,05E7+05B8+05BC,186.0,always,letter qof dagesh with qamats,⠐⠟⠣
קֱּ,05E7+05B1+05BC,186.0,always,letter qof dagesh with hataf segol,⠐⠟⠢
קֲּ,05E7+05B2+05BC,186.0,always,letter qof dagesh with hataf patah,⠐⠟⠒
קֳּ,05E7+05B3+05BC,186.0,always,letter qof dagesh with hataf qamats,⠐⠟⠜
קִּ,05E7+05B4+05BC,186.0,always,letter qof  dagesh with hiriq,⠐⠟⠊
קֵּ,05E7+05B5+05BC,186.0,always,letter qof  dagesh with tsere,⠐⠟⠌
קֶּ,05E7+05B6+05BC,186.0,always,letter qof  dagesh with segol,⠐⠟⠑
קַּ,05E7+05B7+05BC,186.0,always,letter qof  dagesh with patah,⠐⠟⠉
קָּ,05E7+05B8+05BC,186.0,always,letter qof dagesh  qamats,⠐⠟⠣
קֱּ,05E7+05B1+05BC,186.0,always,letter qof dagesh  hataf segol,⠐⠟⠢
קֲּ,05E7+05B2+05BC,186.0,always,letter qof dagesh  hataf patah,⠐⠟⠒
קֳּ,05E7+05B3+05BC,186.0,always,letter qof dagesh  hataf qamats,⠐⠟⠜
ק,05E7,8.0,letter,letter qof,⠟
ר,05E8,8.0,letter,letter resh,⠗
ש,05E9,9.0,letter,Shin,⠩
שׁ,05E9+05C1,8.0,always,letter shin with dot,⠩
שׁ,ִ05E9+05B4+05C1,8.0,always,letter shin  with dot and hiriq,⠩⠊
שֵׁ,05E9+05B5+05C1,8.0,always,letter shin with dot,⠩⠌
שֶׁ,05E9+05B6+05C1,8.0,always,letter shin with dot,⠩⠑
שַׁ,05E9+05B7+05C1,8.0,always,letter shin with dot,⠩⠉
שָׁ,05E9+05B8+05C1,8.0,always,letter shin with dot and qamats,⠩⠣
שֱׁ,05E9+05B1+05C1,8.0,always,letter shin with dot and hataf segol,⠩⠢
שֲׁ,05E9+05B2+05C1,8.0,always,letter shin with dot and hataf patah ,⠩⠒
שֳׁ,05E9+05B3+05C1,8.0,always,letter shin with dot and hataf qamats,⠩⠜
שִׁ,05E9+05B4+05C1,8.0,always,letter shin  with dot and hiriq,⠩⠊
