Unicode,Character,Name,Braille
03CA+0301,ΐ,iota with dialytika and oxia isolated,]
03CA+0342+0345,ῗͅ,iota with dialytika and perispomenia isolated,%9
03CA+0342,ῗ,iota with dialytika and perispomenia isolated,%
03CA+0345,ϊͅ,iota with dialytikaa isolated,i9
03CA,ϊ,iota with dialytikaa isolated,i
03CB+0300+0345,ῢͅ,upsilon with dialytika and varia isolated,)9
03CB+0300,ῢ,upsilon with dialytika and varia isolated,)
03CB+0301+0345,ΰͅ,upsilon with dialytika and oxia isolated,\9
03CB+0301,ΰ,upsilon with dialytika and oxia isolated,\
03CB+0342+0345,ῧͅ,upsilon with dialytika and perispomenia isolated,v9
03CB+0342,ῧ,upsilon with dialytika and perispomenia isolated,v
03CB+0345,ϋͅ,upsilon with dialytika isolated,u9
03CB,ϋ,upsilon with dialytika isolated,u
03CC+0345,όͅ,omnichron with oxia,[9
03CC,ό,omicron with oxia,[
03CD+0345,ύͅ,upsilon with oxia,\9
03CD,ύ,upsilon with oxia,\
03CE+0345,ῴ,omega with oxia,j9
03CE,ώ,omega with oxia,j
03CF,Ϗ,CAPITAL KAI SYMBOL,
03D0,ϐ,BETA SYMBOL,
03D1,ϑ,THETA SYMBOL,
03D2,ϒ,UPSILON WITH HOOK SYMBOL,
03D3,ϓ,UPSILON WITH ACUTE AND HOOK SYMBOL,
03D4,ϔ,UPSILON WITH DIAERESIS AND HOOK SYMBOL,u
03D5,ϕ,PHI SYMBOL,f
03D6,ϖ,PI SYMBOL,p
03D7,ϗ,KAI SYMBOL,&
03D8,Ϙ,ARCHAIC KOPPA,_q
03D9,ϙ,ARCHAIC KOPPA,_q
03DA,Ϛ,STIGMA,_v
03DB,ϛ,STIGMA,_v
03DC,Ϝ,DIGAMMA,_v
03DD,ϝ,DIGAMMA,_v
03DE,Ϟ,KOPPA,_q
03DF,ϟ,KOPPA,_q
3,Ϡ,SAMPI,_!
30,ϡ,SAMPI,_!
300,Ϣ,COPTIC CAPITAL SHEI,.%
3000,ϣ,COPTIC SHEI,%
30000,Ϥ,COPTIC CAPITAL FEI,.$
300000,ϥ,COPTIC FEI,$
3000000,Ϧ,COPTIC CAPITAL KHEI,.*
30000000,ϧ,COPTIC KHEI,*
300000000,Ϩ,COPTIC CAPITAL HORI,.h
3000000000,ϩ,COPTIC HORI,h
03EA,Ϫ,COPTIC CAPITAL GANGIA,.j
03EB,ϫ,COPTIC GANGIA,j
03EC,Ϭ,COPTIC CAPITAL SHIMA,.<
03ED,ϭ,COPTIC SHIMA,<
03EE,Ϯ,COPTIC CAPITAL DEI,.\
03EF,ϯ,COPTIC DEI,\
03F0,ϰ,KAPPA SYMBOL,k
03F1,ϱ,RHO SYMBOL,r
03F2,ϲ,LUNATE SIGMA SYMBOL,e
03F3,ϳ,YOT,y
03F4,ϴ,CAPITAL THETA SYMBOL,?
03F5,ϵ,LUNATE EPSILON SYMBOL,e
03F6,϶,REVERSED LUNATE EPSILON SYMBOL,**
03F7,Ϸ,CAPITAL SHO,s
03F8,ϸ,SHO,s
03F9,Ϲ,CAPITAL LUNATE SIGMA SYMBOL,**
03FA,Ϻ,CAPITAL SAN,.s
03FB,ϻ,SAN,s
03FC,ϼ,RHO WITH STROKE SYMBOL,r
03FD,Ͻ,CAPITAL REVERSED LUNATE SIGMA SYMBOL,.**
03FE,Ͼ,CAPITAL DOTTED LUNATE SIGMA SYMBOL,**
03FF,Ͽ,CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL,**
0391,Α,Capitol Alpha,⠠⠁
0392,Β,Capitol Beta,⠠⠃
0393,Γ,Capitol Gamma,⠠⠛
0394,Δ,Capitol Delta,⠠⠙
0395,Ε,Capitol Epsilon,⠠⠑
0396,Ζ,Capitol Zeta,Z
0397,Η,Capitol Eta,⠠:
0398,Θ,Capitol Theta,⠠?
0399,Ι,Capitol Iota,I
039A,Κ,Capitol Kappa,K
039B,Λ,Capitol Lambda,L
039C,Μ,Capitol Mu,M
039D,Ν,Capitol Nu,N
039E,Ξ,Capital Xi,X
039F,Ο,Capitol Omicron,O
03A0,Π,Capitol Pi,P
03A1,Ρ,Capitil rho,R
03A3,Σ,Capitol Sigma,S
03C2,ς,Final Sigma,s
03A4,Τ,Capital Tau,T
03A5,Υ,Capitol Upsilon,U
03A6,Φ,Capitol Fi,Fv
03A7,Χ,Capitol Chi,⠠⠯
03A8,Ψ,Capitol Psi,Y
03A9,Ω,Capitol Omega,W

