Character,Hex,Logic,Type,Name,Braille
S,,,letter,S,⠠⠎
t,,,letter,t,⠞
T,,,letter,T,⠠⠞
u,,,letter,u,⠥
U,,,letter,U,⠠⠥
V,,,letter,V,⠠⠧
v,,,letter,v,⠧
W,,,letter,W,⠠⠺
w,,,letter,w,⠺
X,,,letter,X,⠠⠭
x,,,letter,x,⠭
Y,,,letter,Y,⠠⠽
y,,,letter,y,⠽
z,,,letter,z,⠵
Z,,,letter,Z,⠠⠵
1,,,letter,1,⠁
2,,,letter,2,⠃
3,,,letter,3,⠉
4,,,letter,4,⠙
5,,,letter,5,⠑
6,,,letter,6,⠋
7,,,letter,7,⠛
8,,,letter,8,⠓
9,,,letter,9,⠊
0,,,letter,0,⠚
*,,,letter,*,⠐⠦
+,,,letter,+,⠐⠖
/,,,letter,/,⠐⠌
_,,,letter,_,⠢
^,,,letter,^,⠔
<,,,letter,<,⠈⠣
>,,,letter,>,⠈⠜
#,,,letter,#,⠼
$,,,letter,$,⠈⠎
&,,,letter,&,⠈⠯
%,,,letter,%,⠨⠴
-,,,letter,-,⠤
:,,,letter,:,⠒
',,,letter,',⠄
.,,,letter,.,⠲
?,,,letter,?,⠰⠦
!,,,letter,!,⠖
 ,,,letter, , 
