Accent,alpha,epsilon,eta,iota,omichron,upsilon,omega
No Accent,a,e,:,i,o,u,w
grave/varia +0300,a→(,e→c,:→!,i→/,o→+,u→),w→q
acute/oxia +0301,a→>,e→$,:→=,i→],o→[,u→\,w→j
circum/perispomeni +0342,a→*,,:→<,i→%,,u→v,w→#
Accent,Effect
smooth/psili +0313,0v (v=vowel)
rough/dasia +0314,hv (v=vowel)
Accent,Effect
subscript/ypogegramei +0345,add 9
Accent,Effect
dialytika,2 (between vowels)
0384,΄,tonos,,
03B1+0313,ἀ,alpha with psili,0a,0a
03B1+0314+0300+0345,ᾃ,alpha with dasia and varia,h(9,h(9
03B1+0314+0300,ἃ,alpha with dasia and varia,h(,h(
03B1+0314+0301+0345,ᾅ,alpha with dasia and oxia,h>9,h>9
03B1+0314+0301,ἅ,alpha with dasia and oxia,h>,h>
03B1+0314+0342+0345,ᾇ,alpha with dasia and perispomeni,h*9,h*9
03B1+0314+0342,ἇ,alpha with dasia and perispomeni,h*,h*
03B1+0314+0345,ᾁ,alpha with dasia,ha9,ha9
03B1+0314,ἁ,alpha with dasia,ha,ha
03B1+0342+0345,ᾷ,alpha with perispomeni,*9,*9
03B1+0342,ᾶ,alpha with perispomeni,*,*
03B1+0345,ᾳ,alpha,a9,a9
03B1+0390+0345,αΐͅ,alpha and iota with oxia and dialytika,a2]9,a2]9
03B1+0390,αΐ,alpha and iota with oxia and dialytika,a2],a2]
03B1+03AF+0345,αίͅ,alpha iota with oxia,a]9,a]9
03B1+03AF+03C9+0345,αίῳ,alpha iota Greek Omega with oxia,a]w9,a]w9
03B1+03AF,αί,alpha iota with oxia,a],a]
03B1+03B0+0345,αΰͅ,alpha upsilon with dialytika and oxia,a2\9,a2\9
03B1+03B0,αΰ,alpha upsilon with dialytika and oxia,a2\,a2\
03B1+03B9+0300+0345,αὶͅ,alpha iota with varia,a/9,a/9
03B1+03B9+0300,αὶ,alpha iota with varia,a/,a/
03B1+03B9+0301+0345,αίͅ,alpha iota with oxia,a=9,a=9
03B1+03B9+0301,αί,alpha iota with oxia,a=,a=
03B1+03B9+0313+0300+0345,αἲͅ,alpha iota with psili and varia,0a/9,0a/9
03B1+03B9+0313+0300,αἲ,alpha iota with psili and varia,0a/,0a/
03B1+03B9+0313+0301+0345,αἴͅ,alpha iota with psili and oxia,0a=9,0a=9
03B1+03B9+0313+0301,αἴ,alpha iota with psili and oxia,0a=,0a=
03B1+03B9+0313+0342+0345,αἶͅ,alpha iota with psili and perispomeni,0a%9,0a%9
03B1+03B9+0313+0342,αἶ,alpha iota with psili and perispomeni,0a%,0a%
03B1+03B9+0313+0345,αἰͅ,alpha iota with psili,0ai9,0ai9
03B1+03B9+0313,αἰ,alpha iota with psili,0ai,0ai
