Character,Hex,Type,Name,Braille
𒁑,12051,letter,CUNEIFORM SIGN BULUG,⠃⠥⠇⠥⠛
𒁒,12052,letter,CUNEIFORM SIGN BULUG OVER BULUG,⠃⠥⠇⠥⠛⠌⠃⠥⠇⠥⠛
𒁓,12053,letter,CUNEIFORM SIGN BUR,⠃⠥⠗
𒁔,12054,letter,CUNEIFORM SIGN BUR2,⠃⠥⠗
𒁕,12055,letter,CUNEIFORM SIGN DA,⠙⠁
𒁖,12056,letter,CUNEIFORM SIGN DAG,⠙⠁⠛
𒁗,12057,letter,CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠁⠬⠍⠁⠩
𒁘,12058,letter,CUNEIFORM SIGN DAG KISIM5 TIMES AMAR,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠁⠍⠜
𒁙,12059,letter,CUNEIFORM SIGN DAG KISIM5 TIMES BALAG,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠃⠁⠇⠁⠛
𒁚,1205A,letter,CUNEIFORM SIGN DAG KISIM5 TIMES BI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠃⠊
𒁛,1205B,letter,CUNEIFORM SIGN DAG KISIM5 TIMES GA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠁
𒁜,1205C,letter,CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠁⠬⠍⠁⠩
𒁝,1205D,letter,CUNEIFORM SIGN DAG KISIM5 TIMES GI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠊
𒁞,1205E,letter,CUNEIFORM SIGN DAG KISIM5 TIMES GIR2,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠊⠗
𒁟,1205F,letter,CUNEIFORM SIGN DAG KISIM5 TIMES GUD,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠛⠥⠙
𒁠,12060,letter,CUNEIFORM SIGN DAG KISIM5 TIMES HA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠓⠁
𒁡,12061,letter,CUNEIFORM SIGN DAG KISIM5 TIMES IR,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠊⠗
𒁢,12062,letter,CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠊⠗⠬⠇⠥
𒁣,12063,letter,CUNEIFORM SIGN DAG KISIM5 TIMES KAK,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠅⠁⠅
𒁤,12064,letter,CUNEIFORM SIGN DAG KISIM5 TIMES LA,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠁
𒁥,12065,letter,CUNEIFORM SIGN DAG KISIM5 TIMES LU,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠥
𒁦,12066,letter,CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠥⠬⠍⠁⠩
𒁧,12067,letter,CUNEIFORM SIGN DAG KISIM5 TIMES LUM,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠇⠥⠍
𒁨,12068,letter,CUNEIFORM SIGN DAG KISIM5 TIMES NE,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠝⠑
𒁩,12069,letter,CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠏⠁⠏⠬⠏⠁⠏
𒁪,1206A,letter,CUNEIFORM SIGN DAG KISIM5 TIMES SI,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠎⠊
𒁫,1206B,letter,CUNEIFORM SIGN DAG KISIM5 TIMES TAK4,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠞⠁⠅⠲
𒁬,1206C,letter,CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠥⠬⠛⠊⠗
𒁭,1206D,letter,CUNEIFORM SIGN DAG KISIM5 TIMES USH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠢⠡⠥⠩
𒁮,1206E,letter,CUNEIFORM SIGN DAM,⠙⠁⠍
𒁯,1206F,letter,CUNEIFORM SIGN DAR,⠙⠜
𒁰,12070,letter,CUNEIFORM SIGN DARA3,⠙⠜⠁⠒
𒁱,12071,letter,CUNEIFORM SIGN DARA4,⠙⠜⠁⠲
𒁲,12072,letter,CUNEIFORM SIGN DI,⠙⠊
𒁳,12073,letter,CUNEIFORM SIGN DIB,⠙⠊⠃
𒁴,12074,letter,CUNEIFORM SIGN DIM,⠙⠊⠍
𒁵,12075,letter,CUNEIFORM SIGN DIM TIMES SHE,⠙⠊⠍⠡⠩⠑
𒁶,12076,letter,CUNEIFORM SIGN DIM2,⠙⠊⠍
𒁷,12077,letter,CUNEIFORM SIGN DIN,⠙⠊⠝
𒁸,12078,letter,CUNEIFORM SIGN DIN KASKAL U GUNU DISH,⠙⠊⠝ ⠅⠁⠎⠅⠁⠇ ⠥ ⠛⠥⠝⠥ ⠙⠊⠩
𒁹,12079,letter,CUNEIFORM SIGN DISH,⠙⠊⠩
𒁺,1207A,letter,CUNEIFORM SIGN DU,⠙⠥
𒁻,1207B,letter,CUNEIFORM SIGN DU OVER DU,⠙⠥⠌⠙⠥
𒁼,1207C,letter,CUNEIFORM SIGN DU GUNU,⠙⠥ ⠛⠥⠝⠥
𒁽,1207D,letter,CUNEIFORM SIGN DU SHESHIG,⠙⠥ ⠩⠑⠩⠊⠛
𒁾,1207E,letter,CUNEIFORM SIGN DUB,⠙⠥⠃
𒁿,1207F,letter,CUNEIFORM SIGN DUB TIMES ESH2,⠙⠥⠃⠡⠑⠩
𒂀,12080,letter,CUNEIFORM SIGN DUB2,⠙⠥⠃
𒂁,12081,letter,CUNEIFORM SIGN DUG,⠙⠥⠛
𒂂,12082,letter,CUNEIFORM SIGN DUGUD,⠙⠥⠛⠥⠙
𒂃,12083,letter,CUNEIFORM SIGN DUH,⠙⠥⠓
𒂄,12084,letter,CUNEIFORM SIGN DUN,⠙⠥⠝
𒂅,12085,letter,CUNEIFORM SIGN DUN3,⠙⠥⠝⠒
𒂆,12086,letter,CUNEIFORM SIGN DUN3 GUNU,⠙⠥⠝⠒ ⠛⠥⠝⠥
𒂇,12087,letter,CUNEIFORM SIGN DUN3 GUNU GUNU,⠙⠥⠝⠒ ⠛⠥⠝⠥ ⠛⠥⠝⠥
𒂈,12088,letter,CUNEIFORM SIGN DUN4,⠙⠥⠝⠲
𒂉,12089,letter,CUNEIFORM SIGN DUR2,⠙⠥⠗
𒂊,1208A,letter,CUNEIFORM SIGN E,⠑
