Character,Hex,AmericanTranslitteration,Logic,Type,Name,Braille
𒇊,121CA,LAGABxI⠡IxNUN,784,letter,LAGABxḪIxNUN,LAGABxḪIxNUN
𒇋,121CB,LAGABxIGIgun⠘⠩,238,letter,LAGABxIGIgunû,LAGABxIGIgunû
𒇌,121CC,LAGABxIM,785,letter,LAGABxIM,LAGABxIM
𒇍,121CD,LAGABxIM+I⠡A,128,letter,LAGABxIM+ḪA,LAGABxIM+ḪA
𒇎,121CE,LAGABxIM+LU,128,letter,LAGABxIM+LU,LAGABxIM+LU
𒇏,121CF,LAGABxKI,789,letter,LAGABxKI,LAGABxKI
𒇐,121D0,LAGABxKIN,794,letter,LAGABxKIN,LAGABxKIN
𒇑,121D1,LAGABxKU3,790,letter,GARIM,GARIM
𒇒,121D2,LAGABxKUL,761,letter,LAGABxKUL,LAGABxKUL
𒇓,121D3,LAGABxKUL+I⠡I+A,762,letter,LAGABxKUL+ḪI+A,LAGABxKUL+ḪI+A
𒇔,121D4,LAGABxLAGAB,804,letter,NIĜIN,NIĜIN
𒇕,121D5,LAGABxLII⠩,782,letter,LAGABxLIŠ,LAGABxLIŠ
𒇖,121D6,LAGABxLU,793,letter,LAGABxLU,LAGABxLU
𒇗,121D7,LAGABxLUL,777,letter,LAGABxLUL,LAGABxLUL
𒇘,121D8,LAGABxME,791,letter,LAGABxME,LAGABxME
𒇙,121D9,LAGABxME+EN,792,letter,LAGABxME+EN,LAGABxME+EN
𒇚,121DA,LAGABxMUI⠩,780,letter,LAGABxMUŠ,LAGABxMUŠ
𒇛,121DB,LAGABxNE,768,letter,UDUB,UDUB
𒇜,121DC,LAGABxI⠩E+SUM,779,letter,LAGABxŠE+SUM,LAGABxŠE+SUM
𒇝,121DD,LAGABxI⠩ITA+GII⠩+ERIN2,238,letter,LAGABxŠITA+GIŠ+ERIN2,LAGABxŠITA+GIŠ+ERIN2
𒇞,121DE,LAGABxI⠩ITA+GII⠩ten⠘⠩,238,letter,LAGABxŠITA+GIŠtenû,LAGABxŠITA+GIŠtenû
𒇟,121DF,LAGABxI⠩U2,802,letter,LAGABxŠU2,LAGABxŠU2
𒇠,121E0,LAGABxI⠩U2+I⠩U2,803,letter,LAGABxŠU2+ŠU2,LAGABxŠU2+ŠU2
𒇡,121E1,LAGABxSUM,767,letter,ZAR,ZAR
𒄀,12100,LAGABxTAG,238,letter,LAGABxTAG,LAGABxTAG
𒇣,121E3,LAGABxTAK4,759,letter,LAGABxTAK4,LAGABxTAK4
𒇤,121E4,LAGABxTE+A+SU+NA,128,letter,LAGABxTE+A+SU+NA,LAGABxTE+A+SU+NA
𒇥,121E5,LAGABxU,786,letter,GÍGIR,GÍGIR
𒇦,121E6,LAGABxU+A,787,letter,LAGABxU+A,LAGABxU+A
𒇧,121E7,LAGABxU+U+U,788,letter,BUL,BUL
𒇨,121E8,LAGABxU2+AI⠩,774,letter,LAGABxU2+AŠ,LAGABxU2+AŠ
𒇪,121EA,LAGABxUI⠩,770,letter,LAGABxUD,LAGABxUD
𒇫,121EB,LAGABsquared,805,letter,LAGABxUŠ,LAGABxUŠ
𒇬,121EC,LAGAR,719,letter,LAGABsquared,LAGABsquared
𒇭,121ED,LAGARxI⠩E,722,letter,LAGAR,LAGAR
𒇮,121EE,LAGARxI⠩E+SUM,723,letter,SU7,SU7
𒇯,121EF,LAGARgun⠘⠩,721,letter,LAGARxŠE+SUM,LAGARxŠE+SUM
𒇰,121F0,LAGARgun⠘⠩/LAGARgun⠘⠩I⠩E,721,letter,DU6,DU6
𒇱,121F1,LAI⠡I⠩U,238,letter,LAGARgunû/LAGARgunûŠE,LAGARgunû/LAGARgunûŠE
𒇲,121F2,LAL,750,letter,LAḪŠU,LAḪŠU
𒇳,121F3,LALxLAL,751,letter,LA2,LA2
𒇴,121F4,LAM,693,letter,LAL2,LAL2
𒇵,121F5,LAMxKUR,694,letter,BAfromGANBA,BAfromGANBA
𒇶,121F6,LAMxKUR+RU,694,letter,EŠ22,EŠ22
𒇷,121F7,LI,85,letter,LAMxKUR+RU,LAMxKUR+RU
𒇸,121F8,LIL,544,letter,LI,LI
𒇹,121F9,LIMMU2,215,letter,LIL,LIL
𒇺,121FA,LII⠩,591,letter,LIMMU2,LIMMU2
𒇻,121FB,LU,812,letter,DÍLIM,DÍLIM
𒇼,121FC,LUxBAD,814,letter,UDU,UDU
𒇽,121FD,LU2,514,letter,ÀD,ÀD
𒇾,121FE,LU2xAL,523,letter,Person,Person
𒇿,121FF,LU2xBAD,517,letter,LU2xAL,LU2xAL
𒈀,12200,LU2xEI⠩2,128,letter,LU2xBAD,LU2xBAD
𒈁,12201,LU2xEI⠩2ten⠘⠩,128,letter,LU2xEŠ2,LU2xEŠ2
𒈂,12202,LU2xGAN2ten⠘⠩,521,letter,LU2xEŠ2tenû,LU2xEŠ2tenû
𒈃,12203,LU2xI⠡IxBAD,238,letter,LU2xGAN2tenû,LU2xGAN2tenû
𒈄,12204,LU2xIM,526,letter,LU2xḪIxBAD,LU2xḪIxBAD
𒈅,12205,LU2xKAD2,519,letter,LU2xIM,LU2xIM
𒈆,12206,LU2xKAD3,238,letter,LU2xKAD2,LU2xKAD2
𒈇,12207,LU2xKAD3+AI⠩,238,letter,LU2xKAD3,LU2xKAD3
𒈈,12208,LU2xKI,527,letter,LU2xKAD3+AŠ,LU2xKAD3+AŠ
𒈉,12209,LU2xLA+AI⠩,238,letter,LU2xKI,LU2xKI
𒈊,1220A,LU2xLAGAB,528,letter,LU2xLA+AŠ,LU2xLA+AŠ
𒈋,1220B,LU2xME+EN,238,letter,LU2xLAGAB,LU2xLAGAB
𒈌,1220C,LU2xNE,522,letter,LU2xME+EN,LU2xME+EN
𒈍,1220D,LU2xNU,238,letter,DU14,DU14
𒈎,1220E,LU2xSI+AI⠩,238,letter,LU2xNU,LU2xNU
𒈏,1220F,LU2xSIK2+BU,533,letter,LU2xSI+AŠ,LU2xSI+AŠ
𒈐,12210,LU2xTUG2,530,letter,LU2xSIK2+BU,LU2xSIK2+BU
𒈑,12211,LU2ten⠘⠩,515,letter,AZLAG7,AZLAG7
𒈒,12212,LU2crossingLU2,128,letter,LU2tenû,LU2tenû
𒈓,12213,LU2opposingLU2,128,letter,LU2crossingLU2,LU2crossingLU2
𒈔,12214,LU2squared,128,letter,LU2opposingLU2,LU2opposingLU2
𒈕,12215,LU2⠩e⠩ig,516,letter,LU2squared,LU2squared
𒈖,12216,LU3,555,letter,DIM3,DIM3
𒈗,12217,LUGAL,266,letter,GÚG,GÚG
𒈘,12218,LUGAL/LUGAL,266v,letter,LUGAL,LUGAL
𒈙,12219,LUGALopposingLUGAL,266v,letter,DADRUM,DADRUM
𒈚,1221A,LUGAL⠩e⠩ig,DIM3,letter,LUGALopposingLUGAL,LUGALopposingLUGAL
𒈛,1221B,LUI⠡,494,letter,LUGALšešig,LUGALšešig
𒈜,1221C,LUL,570,letter,LUḪ,LUḪ
𒈝,1221D,LUM,900,letter,NAR,NAR
𒈞,1221E,LUM/LUM,902,letter,ḪUM,ḪUM
𒈟,1221F,LUM/LUMGAR/GAR,904,letter,LUM/LUM,LUM/LUM
𒈠,12220,MA,552,letter,LÙGUD,LÙGUD
𒈡,12221,MAxTAK4,128,letter,MA,MA
𒈢,12222,MAgun⠘⠩,270,letter,MAxTAK4,MAxTAK4
𒈣,12223,MA2,201,letter,ḪASḪUR,ḪASḪUR
𒈤,12224,MAI⠡,91,letter,MA2,MA2
𒈥,12225,MAR,483,letter,MAH,MAH
𒈦,12226,MAI⠩,120,letter,MAR,MAR
𒈧,12227,MAI⠩2,130,letter,MAŠ,MAŠ
𒈨,12228,ME,753,letter,MAŠ2,MAŠ2
𒈩,12229,MES,486,letter,ME,ME
𒈪,1222A,MI,681,letter,RID,RID
𒈫,1222B,MIN,825,letter,ĜI6,ĜI6
𒈬,1222C,MU,98,letter,MIN,MIN
𒈭,1222D,MU/MU,301,letter,ĜU10,ĜU10
𒈮,1222E,MUG,12,letter,TAḪ,TAḪ
𒈯,1222F,MUGgun⠘⠩,13,letter,oakum,oakum
𒈰,12230,MUNSUB,820,letter,ZADIM,ZADIM
𒈱,12231,MURGU2,128,letter,MUNŠUB,MUNŠUB
𒈲,12232,MUI⠩,585,letter,MURGU2,MURGU2
𒈳,12233,MUI⠩xA,128,letter,MUŠ,MUŠ
𒈴,12234,MUI⠩xKUR,128,letter,MUŠxA,MUŠxA
𒈵,12235,MUI⠩xZA,128,letter,MUŠxKUR,MUŠxKUR
𒈶,12236,MUI⠩/MUI⠩,586,letter,MUŠxZA,MUŠxZA
𒈷,12237,MUI⠩/MUI⠩xA+NA,128,letter,RI8,RI8
𒈸,12238,MUI⠩crossingMUI⠩,238,letter,MUŠ/MUŠxA+NA,MUŠ/MUŠxA+NA
𒈹,12239,MUI⠩3,153,letter,MUŠcrossingMUŠ,MUŠcrossingMUŠ
𒈺,1223A,MUI⠩3xA,154,letter,INANNA,INANNA
𒈻,1223B,MUI⠩3xA+DI,155,letter,MUŠ3xA,MUŠ3xA
𒈼,1223C,MUI⠩3xDI,238,letter,MUŠ3xA+DI,MUŠ3xA+DI
𒈽,1223D,MUI⠩3gun⠘⠩,128,letter,MUŠ3xDI,MUŠ3xDI
𒈾,1223E,,110,letter,SUH,SUH
𒈿,1223F,NA2,689,letter,Na,Na
𒉀,12240,NAGA,293,letter,NU2,NU2
𒉁,12241,NAGAinverted,128,letter,NISABA,NISABA
𒉂,12242,NAGAxI⠩Uten⠘⠩,294,letter,ḪAYA238,ḪAYA238
𒉃,12243,NAGAopposingNAGA,128,letter,NAGAxŠUtenû,NAGAxŠUtenû
𒉄,12244,NAGAR,893,letter,NAGAopposingNAGA,NAGAopposingNAGA
𒉅,12245,NAMNUTILLU,238,letter,ALLA,ALLA
𒉆,12246,NAM,134,letter,NAMNUTILLU,NAMNUTILLU
𒉇,12247,NAM2,238,letter,NAM,NAM
𒉈,12248,NE,313,letter,NAM2,NAM2
𒉉,12249,NExA,315,letter,BI2,BI2
𒉊,1224A,NExUD,314,letter,NExA,NExA
𒉋,1224B,NE⠩e⠩ig,312,letter,NExUD,NExUD
𒉌,1224C,NI,380,letter,BÍL,BÍL
𒉍,1224D,NIxE,238,letter,I3,I3
𒉎,1224E,NI2,641,letter,NIxE,NIxE
𒉏,1224F,NIM,690,letter,NI2,NI2
𒉐,12250,NIMxGAN2ten⠘⠩,691,letter,NUM,NUM
𒉑,12251,NIMxGAR+GAN2ten⠘⠩,692,letter,NIMxGAN2tenû,NIMxGAN2tenû
𒉒,12252,NINDA2,316,letter,NIMxGAR+GAN2tenû,NIMxGAR+GAN2tenû
𒉓,12253,NINDA2xAN,320,letter,NINDA2,NINDA2
𒉔,12254,NINDA2xAI⠩,317,letter,NINDA2xAN,NINDA2xAN
𒉕,12255,NINDA2xAI⠩+AI⠩,316,letter,NINDA2xAŠ,NINDA2xAŠ
𒉖,12256,NINDA2xGUD,327,letter,NINDA2xAŠ+AŠ,NINDA2xAŠ+AŠ
𒉗,12257,NINDA2xME+GAN2ten⠘⠩,128,letter,NINDA2xGUD,NINDA2xGUD
𒉘,12258,NINDA2xNE,326,letter,NINDA2xME+GAN2tenû,NINDA2xME+GAN2tenû
𒉙,12259,NINDA2xNUN,324,letter,ÁG,ÁG
𒉚,1225A,NINDA2xI⠩E,333,letter,AZU,AZU
𒉛,1225B,NINDA2xI⠩E+AAN,333,letter,NINDA2xŠE,NINDA2xŠE
𒉜,1225C,NINDA2xI⠩E+AI⠩,331,letter,ŠAM2,ŠAM2
𒉝,1225D,NINDA2xI⠩E+AI⠩+AI⠩,332,letter,NINDA2xŠE+AŠ,NINDA2xŠE+AŠ
𒉞,1225E,NINDA2xU2+AI⠩,330,letter,NINDA2xŠE+AŠ+AŠ,NINDA2xŠE+AŠ+AŠ
𒉟,1225F,NINDA2xUI⠩,238,letter,NINDA2xU2+AŠ,NINDA2xU2+AŠ
𒉠,12260,NISAG,545,letter,NINDA2xUŠ,NINDA2xUŠ
𒉡,12261,NU,112,letter,MURU2,MURU2
𒉢,12262,NU11,115,letter,NU,NU
𒉣,12263,NUN,143,letter,ŠIR,ŠIR
𒉤,12264,NUNLAGARxGAR,238,letter,eridu,eridu
𒉥,12265,NUNLAGARxMAI⠩,238,letter,NUNLAGARxGAR,NUNLAGARxGAR
𒉦,12266,NUNLAGARxSAL,238,letter,NUNLAGARxMAŠ,NUNLAGARxMAŠ
𒉧,12267,NUNLAGARxSAL/NUNLAGARxSAL,238,letter,NUNLAGARxSAL,NUNLAGARxSAL
𒉨,12268,NUNLAGARxUI⠩,238,letter,NUNLAGARxSAL/NUNLAGARxSAL,NUNLAGARxSAL/NUNLAGARxSAL
𒉩,12269,NUNten⠘⠩,144,letter,NUNLAGARxUŠ,NUNLAGARxUŠ
𒉪,1226A,NUN/NUN,502,letter,NUNtenû,NUNtenû
𒉫,1226B,NUNcrossingNUN,107,letter,NIR,NIR
𒉬,1226C,NUNcrossingNUNLAGAR/LAGAR,128,letter,NUNcrossingNUN,NUNcrossingNUN
𒉭,1226D,NUNUZ,614,letter,NUNcrossingNUNLAGAR/LAGAR,NUNcrossingNUNLAGAR/LAGAR
𒉮,1226E,NUNUZAB2xAI⠩GAB,619,letter,NUNUZ,NUNUZ
𒉯,1226F,NUNUZAB2xBI,621,letter,USAN3,USAN3
𒉰,12270,NUNUZAB2xDUG,625,letter,MUD3,MUD3
𒉱,12271,NUNUZAB2xGUD,623,letter,NUNUZAB2xDUG,NUNUZAB2xDUG
𒉲,12272,NUNUZAB2xIGIgun⠘⠩,627,letter,NUNUZAB2xGUD,NUNUZAB2xGUD
𒉳,12273,NUNUZAB2xKAD3,618,letter,NUNUZAB2xIGIgunû,NUNUZAB2xIGIgunû
𒉴,12274,NUNUZAB2xLA,616,letter,NUNUZAB2xKAD3,NUNUZAB2xKAD3
𒉵,12275,NUNUZAB2xNE,620,letter,LAḪTAN,LAḪTAN
𒉶,12276,NUNUZAB2xSILA3,617,letter,NUNUZAB2xNE,NUNUZAB2xNE
𒉷,12277,NUNUZAB2xU2,624,letter,LAḪTAN2,LAḪTAN2
𒉸,12278,NUNUZKISIM5xBI,621,letter,NUNUZAB2xU2,NUNUZAB2xU2
𒉹,12279,NUNUZKISIM5xBIU,622,letter,MUD3,MUD3
𒉺,1227A,PA,464,letter,MUD3,MUD3
𒉻,1227B,PAD,746,letter,GIDRU,GIDRU
𒉼,1227C,PAN,685,letter,ŠUK,ŠUK
𒉽,1227D,PAP,92,letter,PAN,PAN
𒉾,1227E,PEI⠩2,741,letter,PAB,PAB
𒉿,1227F,PI,598,letter,PEŠ2,PEŠ2
𒊀,12280,PIxA,598v,letter,TAL2,TAL2
𒊁,12281,PIxAB,598v,letter,PIxA,PIxA
𒊂,12282,PIxBI,598v,letter,PIxAB,PIxAB
𒊃,12283,PIxBU,598v,letter,PIxBI,PIxBI
𒊄,12284,PIxE,598v,letter,PIxBU,PIxBU
𒊅,12285,PIxI,598v,letter,PIxBU,PIxBU
𒊆,12286,PIxIB,598v,letter,PIxI,PIxI
𒊇,12287,PIxU,598v,letter,PIxIB,PIxIB
𒊈,12288,PIxU2,598v,letter,PIxU,PIxU
𒊉,12289,PIcrossingPI,598v,letter,PIxU2,PIxU2
𒊊,1228A,PIRIG,238,letter,PIcrossingPI,PIcrossingPI
𒊋,1228B,PIRIGxKAL,295,letter,PIRIG,PIRIG
𒊌,1228C,PIRIGxUD,296,letter,PIRIGxKAL,PIRIGxKAL
𒊍,1228D,PIRIGxZA,297,letter,UG,UG
𒊎,1228E,PIRIGopposingPIRIG,238,letter,AZ,AZ
𒊏,1228F,RA,511,letter,PIRIGopposingPIRIG,PIRIGopposingPIRIG
𒊐,12290,RAB,262,letter,RA,RA
𒊑,12291,RI,142,letter,RAB,RAB
𒊒,12292,RU,111,letter,DAL,DAL
𒊓,12293,SA,172,letter,RU,RU
𒊔,12294,SAGNUTILLU,238,letter,SA,SA
𒊕,12295,SAG,184,letter,SAGNUTILLU,SAGNUTILLU
𒊖,12296,SAGxA,197,letter,SAĜ,SAĜ
𒊗,12297,SAGxDU,187,letter,SAGxA,SAGxA
𒊘,12298,SAGxDUB,128,letter,SAGxDU,SAGxDU
𒊙,12299,SAGxI⠡A,198,letter,SAGxDUB,SAGxDUB
𒊚,1229A,SAGxKAK,188,letter,SAGxḪA,SAGxḪA
𒊛,1229B,SAGxKUR,238,letter,SAGxKAK,SAGxKAK
𒊜,1229C,SAGxLUM,200,letter,SAGxKUR,SAGxKUR
𒊝,1229D,SAGxMI,195,letter,SAGxLUM,SAGxLUM
𒊞,1229E,SAGxNUN,185,letter,SAGxMI,SAGxMI
𒊟,1229F,SAGxSAL,199,letter,SAGxNUN,SAGxNUN
𒊠,122A0,SAGxI⠩ID,191,letter,SAGxSAL,SAGxSAL
𒊡,122A1,SAGxTAB,238,letter,SAGxŠID,SAGxŠID
𒊢,122A2,SAGxU2,192,letter,SAGxTAB,SAGxTAB
𒊣,122A3,SAGxUB,193,letter,SAGxU2,SAGxU2
𒊤,122A4,SAGxUM,186,letter,SAGxUB,SAGxUB
𒊥,122A5,SAGxUR,196,letter,SAGxUM,SAGxUM
𒊦,122A6,SAGxUI⠩,190,letter,SAGxUR,SAGxUR
𒊧,122A7,SAG/SAG,238,letter,SAGxUŠ,SAGxUŠ
𒊨,122A8,SAGgun⠘⠩,512,letter,SAG/SAG,SAG/SAG
𒊩,122A9,SAL,883,letter,DUL3,DUL3
𒊪,122AA,SALLAGABxAI⠩2,128,letter,MI2,MI2
𒊫,122AB,SANGA2,238,letter,SALLAGABxAŠ2,SALLAGABxAŠ2
𒊬,122AC,SAR,541,letter,SANGA2,SANGA2
𒊭,122AD,I⠩A,566,letter,MU2,MU2
𒊮,122AE,I⠩A3,599,letter,ŠA,ŠA
𒊯,122AF,I⠩A3xA,608,letter,ŠAG4,ŠAG4
𒊰,122B0,I⠩A3xBAD,600,letter,PEŠ4,PEŠ4
𒊱,122B1,I⠩A3xGII⠩,603,letter,ŠA3xBAD,ŠA3xBAD
𒊲,122B2,I⠩A3xNE,602,letter,ŠA3xGIŠ,ŠA3xGIŠ
𒊳,122B3,I⠩A3xI⠩U2,609,letter,ŠA3xNE,ŠA3xNE
𒊴,122B4,I⠩A3xTUR,601,letter,ŠA3xŠU2,ŠA3xŠU2
