Character,Hex,AmericanTranslitteration,Logic,Type,Name,Braille
𒍁,12341,URUxI⠡A,82,letter,URUxGU,URUxGU
𒍂,12342,URUxIGI,79,letter,URUxḪA,URUxḪA
𒍃,12343,URUxIM,238,letter,URUxIGI,URUxIGI
𒍄,12344,URUxII⠩,238,letter,URUxIM,URUxIM
𒍅,12345,URUxKI,238,letter,URUxIŠ,URUxIŠ
𒍆,12346,URUxLUM,238,letter,URUxKI,URUxKI
𒍇,12347,URUxMIN,80,letter,URUxLUM,URUxLUM
𒍈,12348,URUxPA,238,letter,ULU3,ULU3
𒍉,12349,URUxI⠩E,238,letter,URUxPA,URUxPA
𒍊,1234A,URUxSIG4,238,letter,URUxŠE,URUxŠE
𒍋,1234B,URUxTU,72,letter,URUxSIG4,URUxSIG4
𒍌,1234C,URUxU+GUD,128,letter,URUxTU,URUxTU
𒍍,1234D,URUxUD,77,letter,URUxU+GUD,URUxU+GUD
𒍎,1234E,URUxURUDA,75,letter,URUxUD,URUxUD
𒍏,1234F,URUDA,230,letter,BANŠUR,BANŠUR
𒍐,12350,URUDAxU,230,letter,URUDU,URUDU
𒍑,12351,UI⠩,381,letter,URUDAxU,URUDAxU
𒍒,12352,UI⠩xA,384,letter,NITA,NITA
𒍓,12353,UI⠩xKU,383,letter,UŠxA,UŠxA
𒍔,12354,UI⠩xKUR,238,letter,UŠxKU,UŠxKU
𒍕,12355,UI⠩xTAK4,382,letter,UŠxKUR,UŠxKUR
𒍖,12356,UI⠩X,583,letter,UŠxTAK4,UŠxTAK4
𒍗,12357,UI⠩2,128,letter,Z,Z
𒍘,12358,UI⠩UMX,238,letter,MŪTU,MŪTU
𒍙,12359,UTUKI,238,letter,UŠUMX,UŠUMX
𒍚,1235A,UZ3,203,letter,UTUKI,UTUKI
𒍛,1235B,UZ3xKASKAL,204,letter,UZ3,UZ3
𒍜,1235C,UZU,311,letter,UZ3xKASKAL,UZ3xKASKAL
𒍝,1235D,ZA,851,letter,UZU,UZU
𒍞,1235E,ZAten⠘⠩,854,letter,ZA,ZA
𒍟,1235F,ZAsquaredxKUR,855,letter,AS4,AS4
𒍠,12360,ZAG,540,letter,ZAsquaredxKUR,ZAsquaredxKUR
𒍡,12361,ZAMX,238,letter,ZA3,ZA3
𒍢,12362,ZE2,259,letter,ZAMX,ZAMX
𒍣,12363,ZI,140,letter,ZI2,ZI2
𒍤,12364,ZI/ZI,101,letter,ZE1,ZE1
𒍥,12365,ZI3,238,letter,ZI/ZI,ZI/ZI
𒍦,12366,ZIB,628,letter,ZI3,ZI3
𒍧,12367,ZIBKABAten⠘⠩,238,letter,ZIB,ZIB
