"Character(decimal)","Decimal","Character(hex)","Hex","Name","Braille"
"𒅑","74065","𒅑","12151","CUNEIFORM SIGN IM OPPOSING IM","im[q~$]im"
"𒅒","74066","𒅒","12152","CUNEIFORM SIGN IM SQUARED","im[q~^][q~^]"
"𒅓","74067","𒅓","12153","CUNEIFORM SIGN IMIN","imin"
"𒅔","74068","𒅔","12154","CUNEIFORM SIGN IN","in"
"𒅕","74069","𒅕","12155","CUNEIFORM SIGN IR","ir"
"𒅖","74070","𒅖","12156","CUNEIFORM SIGN ISH","ish"
"𒅗","74071","𒅗","12157","CUNEIFORM SIGN KA","ka"
"𒅘","74072","𒅘","12158","CUNEIFORM SIGN KA TIMES A","ka[q~*]a"
"𒅙","74073","𒅙","12159","CUNEIFORM SIGN KA TIMES AD","ka[q~*]ad"
"𒅚","74074","𒅚","1215A","CUNEIFORM SIGN KA TIMES AD PLUS KU3","ka[q~*]ad[q~+]ku3"
"𒅛","74075","𒅛","1215B","CUNEIFORM SIGN KA TIMES ASH2","ka[q~*]ash2"
"𒅜","74076","𒅜","1215C","CUNEIFORM SIGN KA TIMES BAD","ka[q~*]bad"
"𒅝","74077","𒅝","1215D","CUNEIFORM SIGN KA TIMES BALAG","ka[q~*]balag"
"𒅞","74078","𒅞","1215E","CUNEIFORM SIGN KA TIMES BAR","ka[q~*]bar"
"𒅟","74079","𒅟","1215F","CUNEIFORM SIGN KA TIMES BI","ka[q~*]bi"
"𒅠","74080","𒅠","12160","CUNEIFORM SIGN KA TIMES ERIN2","ka[q~*]erin2"
"𒅡","74081","𒅡","12161","CUNEIFORM SIGN KA TIMES ESH2","ka[q~*]esh2"
"𒅢","74082","𒅢","12162","CUNEIFORM SIGN KA TIMES GA","ka[q~*]ga"
"𒅣","74083","𒅣","12163","CUNEIFORM SIGN KA TIMES GAL","ka[q~*]gal"
"𒅤","74084","𒅤","12164","CUNEIFORM SIGN KA TIMES GAN2 TENU","ka[q~*]gan2 tenu"
"𒅥","74085","𒅥","12165","CUNEIFORM SIGN KA TIMES GAR","ka[q~*]gar"
"𒅦","74086","𒅦","12166","CUNEIFORM SIGN KA TIMES GAR PLUS SHA3 PLUS A","ka[q~*]gar[q~+]sha3[q~+]a"
"𒅧","74087","𒅧","12167","CUNEIFORM SIGN KA TIMES GI","ka[q~*]gi"
"𒅨","74088","𒅨","12168","CUNEIFORM SIGN KA TIMES GIR2","ka[q~*]gir2"
"𒅩","74089","𒅩","12169","CUNEIFORM SIGN KA TIMES GISH PLUS SAR","ka[q~*]gish[q~+]sar"
"𒅪","74090","𒅪","1216A","CUNEIFORM SIGN KA TIMES GISH CROSSING GISH","ka[q~*]gish[q~&]gish"
"𒅫","74091","𒅫","1216B","CUNEIFORM SIGN KA TIMES GU","ka[q~*]gu"
"𒅬","74092","𒅬","1216C","CUNEIFORM SIGN KA TIMES GUR7","ka[q~*]gur7"
"𒅭","74093","𒅭","1216D","CUNEIFORM SIGN KA TIMES IGI","ka[q~*]igi"
"𒅮","74094","𒅮","1216E","CUNEIFORM SIGN KA TIMES IM","ka[q~*]im"
"𒅯","74095","𒅯","1216F","CUNEIFORM SIGN KA TIMES KAK","ka[q~*]kak"
"𒅰","74096","𒅰","12170","CUNEIFORM SIGN KA TIMES KI","ka[q~*]ki"
"𒅱","74097","𒅱","12171","CUNEIFORM SIGN KA TIMES KID","ka[q~*]kid"
"𒅲","74098","𒅲","12172","CUNEIFORM SIGN KA TIMES LI","ka[q~*]li"
"𒅳","74099","𒅳","12173","CUNEIFORM SIGN KA TIMES LU","ka[q~*]lu"
"𒅴","74100","𒅴","12174","CUNEIFORM SIGN KA TIMES ME","ka[q~*]me"
"𒅵","74101","𒅵","12175","CUNEIFORM SIGN KA TIMES ME PLUS DU","ka[q~*]me[q~+]du"
"𒅶","74102","𒅶","12176","CUNEIFORM SIGN KA TIMES ME PLUS GI","ka[q~*]me[q~+]gi"
"𒅷","74103","𒅷","12177","CUNEIFORM SIGN KA TIMES ME PLUS TE","ka[q~*]me[q~+]te"
"𒅸","74104","𒅸","12178","CUNEIFORM SIGN KA TIMES MI","ka[q~*]mi"
"𒅹","74105","𒅹","12179","CUNEIFORM SIGN KA TIMES MI PLUS NUNUZ","ka[q~*]mi[q~+]nunu"
"𒅺","74106","𒅺","1217A","CUNEIFORM SIGN KA TIMES NE","ka[q~*]ne"
"𒅻","74107","𒅻","1217B","CUNEIFORM SIGN KA TIMES NUN","ka[q~*]nun"
"𒅼","74108","𒅼","1217C","CUNEIFORM SIGN KA TIMES PI","ka[q~*]pi"
"𒅽","74109","𒅽","1217D","CUNEIFORM SIGN KA TIMES RU","ka[q~*]ru"
"𒅾","74110","𒅾","1217E","CUNEIFORM SIGN KA TIMES SA","ka[q~*]sa"
"𒅿","74111","𒅿","1217F","CUNEIFORM SIGN KA TIMES SAR","ka[q~*]sar"
"𒆀","74112","𒆀","12180","CUNEIFORM SIGN KA TIMES SHA","ka[q~*]sha"
"𒆁","74113","𒆁","12181","CUNEIFORM SIGN KA TIMES SHE","ka[q~*]she"
"𒆂","74114","𒆂","12182","CUNEIFORM SIGN KA TIMES SHID","ka[q~*]shid"
"𒆃","74115","𒆃","12183","CUNEIFORM SIGN KA TIMES SHU","ka[q~*]shu"
"𒆄","74116","𒆄","12184","CUNEIFORM SIGN KA TIMES SIG","ka[q~*]sig"
"𒆅","74117","𒆅","12185","CUNEIFORM SIGN KA TIMES SUHUR","ka[q~*]suhur"
"𒆆","74118","𒆆","12186","CUNEIFORM SIGN KA TIMES TAR","ka[q~*]tar"
"𒆇","74119","𒆇","12187","CUNEIFORM SIGN KA TIMES U","ka[q~*]u"
"𒆈","74120","𒆈","12188","CUNEIFORM SIGN KA TIMES U2","ka[q~*]u2"
"𒆉","74121","𒆉","12189","CUNEIFORM SIGN KA TIMES UD","ka[q~*]ud"
"𒆊","74122","𒆊","1218A","CUNEIFORM SIGN KA TIMES UMUM TIMES PA","ka[q~*]umum[q~*]pa"
"𒆋","74123","𒆋","1218B","CUNEIFORM SIGN KA TIMES USH","ka[q~*]ush"
"𒆌","74124","𒆌","1218C","CUNEIFORM SIGN KA TIMES ZI","ka[q~*]zi"
"𒆍","74125","𒆍","1218D","CUNEIFORM SIGN KA2","ka2"
"𒆎","74126","𒆎","1218E","CUNEIFORM SIGN KA2 CROSSING KA2","ka2[q~&]ka2"
"𒆏","74127","𒆏","1218F","CUNEIFORM SIGN KAB","kab"
"𒆐","74128","𒆐","12190","CUNEIFORM SIGN KAD2","kad2"
"𒆑","74129","𒆑","12191","CUNEIFORM SIGN KAD3","kad3"
"𒆒","74130","𒆒","12192","CUNEIFORM SIGN KAD4","kad4"
"𒆓","74131","𒆓","12193","CUNEIFORM SIGN KAD5","kad5"
"𒆔","74132","𒆔","12194","CUNEIFORM SIGN KAD5 OVER KAD5","kad5[q~/]kad5"
"𒆕","74133","𒆕","12195","CUNEIFORM SIGN KAK","kak"
"𒆖","74134","𒆖","12196","CUNEIFORM SIGN KAK TIMES IGI GUNU","kak[q~*]igi gunu"
"𒆗","74135","𒆗","12197","CUNEIFORM SIGN KAL","kal"
"𒆘","74136","𒆘","12198","CUNEIFORM SIGN KAL TIMES BAD","kal[q~*]bad"
"𒆙","74137","𒆙","12199","CUNEIFORM SIGN KAL CROSSING KAL","kal[q~&]kal"
"𒆚","74138","𒆚","1219A","CUNEIFORM SIGN KAM2","kam2"
"𒆛","74139","𒆛","1219B","CUNEIFORM SIGN KAM4","kam4"
"𒆜","74140","𒆜","1219C","CUNEIFORM SIGN KASKAL","kaskal"
"𒆝","74141","𒆝","1219D","CUNEIFORM SIGN KASKAL LAGAB TIMES U OVER LAGAB TIMES U","kaskal lagab[q~*]u[q~/]lagab[q~*]u"
"𒆞","74142","𒆞","1219E","CUNEIFORM SIGN KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U","kaskal[q~/]kaskal lagab[q~*]u[q~/]lagab[q~*]u"
"𒆟","74143","𒆟","1219F","CUNEIFORM SIGN KESH2","kesh2"
"𒆠","74144","𒆠","121A0","CUNEIFORM SIGN KI","ki"
"𒆡","74145","𒆡","121A1","CUNEIFORM SIGN KI TIMES BAD","ki[q~*]bad"
"𒆢","74146","𒆢","121A2","CUNEIFORM SIGN KI TIMES U","ki[q~*]u"
"𒆣","74147","𒆣","121A3","CUNEIFORM SIGN KI TIMES UD","ki[q~*]ud"
"𒆤","74148","𒆤","121A4","CUNEIFORM SIGN KID","kid"
"𒆥","74149","𒆥","121A5","CUNEIFORM SIGN KIN","kin"
"𒆦","74150","𒆦","121A6","CUNEIFORM SIGN KISAL","kisal"
"𒆧","74151","𒆧","121A7","CUNEIFORM SIGN KISH","kish"
"𒆨","74152","𒆨","121A8","CUNEIFORM SIGN KISIM5","kisim5"
"𒆩","74153","𒆩","121A9","CUNEIFORM SIGN KISIM5 OVER KISIM5","kisim5[q~/]kisim5"
"𒆪","74154","𒆪","121AA","CUNEIFORM SIGN KU","ku"
"𒆫","74155","𒆫","121AB","CUNEIFORM SIGN KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2","ku[q~/]hi[q~*]ash2 ku[q~/]hi[q~*]ash2"
"𒆬","74156","𒆬","121AC","CUNEIFORM SIGN KU3","ku3"
"𒆭","74157","𒆭","121AD","CUNEIFORM SIGN KU4","ku4"
"𒆮","74158","𒆮","121AE","CUNEIFORM SIGN KU4 VARIANT FORM","ku4 variant form"
"𒆯","74159","𒆯","121AF","CUNEIFORM SIGN KU7","ku7"
"𒆰","74160","𒆰","121B0","CUNEIFORM SIGN KUL","kul"
"𒆱","74161","𒆱","121B1","CUNEIFORM SIGN KUL GUNU","kul gunu"
"𒆲","74162","𒆲","121B2","CUNEIFORM SIGN KUN","kun"
"𒆳","74163","𒆳","121B3","CUNEIFORM SIGN KUR","kur"
"𒆴","74164","𒆴","121B4","CUNEIFORM SIGN KUR OPPOSING KUR","kur[q~$]kur"
"𒆵","74165","𒆵","121B5","CUNEIFORM SIGN KUSHU2","kushu2"
"𒆶","74166","𒆶","121B6","CUNEIFORM SIGN KWU318","kwu318"
"𒆷","74167","𒆷","121B7","CUNEIFORM SIGN LA","la"
"𒆸","74168","𒆸","121B8","CUNEIFORM SIGN LAGAB","lagab"
