"Character(decimal)","Decimal","Character(hex)","Hex","Name","Braille"
"𒆹","74169","𒆹","121B9","CUNEIFORM SIGN LAGAB TIMES A","lagab[q~*]a"
"𒆺","74170","𒆺","121BA","CUNEIFORM SIGN LAGAB TIMES A PLUS DA PLUS HA","lagab[q~*]a[q~+]da[q~+]ha"
"𒆻","74171","𒆻","121BB","CUNEIFORM SIGN LAGAB TIMES A PLUS GAR","lagab[q~*]a[q~+]gar"
"𒆼","74172","𒆼","121BC","CUNEIFORM SIGN LAGAB TIMES A PLUS LAL","lagab[q~*]a[q~+]lal"
"𒆽","74173","𒆽","121BD","CUNEIFORM SIGN LAGAB TIMES AL","lagab[q~*]al"
"𒆾","74174","𒆾","121BE","CUNEIFORM SIGN LAGAB TIMES AN","lagab[q~*]an"
"𒆿","74175","𒆿","121BF","CUNEIFORM SIGN LAGAB TIMES ASH ZIDA TENU","lagab[q~*]ash zida tenu"
"𒇀","74176","𒇀","121C0","CUNEIFORM SIGN LAGAB TIMES BAD","lagab[q~*]bad"
"𒇁","74177","𒇁","121C1","CUNEIFORM SIGN LAGAB TIMES BI","lagab[q~*]bi"
"𒇂","74178","𒇂","121C2","CUNEIFORM SIGN LAGAB TIMES DAR","lagab[q~*]dar"
"𒇃","74179","𒇃","121C3","CUNEIFORM SIGN LAGAB TIMES EN","lagab[q~*]en"
"𒇄","74180","𒇄","121C4","CUNEIFORM SIGN LAGAB TIMES GA","lagab[q~*]ga"
"𒇅","74181","𒇅","121C5","CUNEIFORM SIGN LAGAB TIMES GAR","lagab[q~*]gar"
"𒇆","74182","𒇆","121C6","CUNEIFORM SIGN LAGAB TIMES GUD","lagab[q~*]gud"
"𒇇","74183","𒇇","121C7","CUNEIFORM SIGN LAGAB TIMES GUD PLUS GUD","lagab[q~*]gud[q~+]gud"
"𒇈","74184","𒇈","121C8","CUNEIFORM SIGN LAGAB TIMES HA","lagab[q~*]ha"
"𒇉","74185","𒇉","121C9","CUNEIFORM SIGN LAGAB TIMES HAL","lagab[q~*]hal"
"𒇊","74186","𒇊","121CA","CUNEIFORM SIGN LAGAB TIMES HI TIMES NUN","lagab[q~*]hi[q~*]nun"
"𒇋","74187","𒇋","121CB","CUNEIFORM SIGN LAGAB TIMES IGI GUNU","lagab[q~*]igi gunu"
"𒇌","74188","𒇌","121CC","CUNEIFORM SIGN LAGAB TIMES IM","lagab[q~*]im"
"𒇍","74189","𒇍","121CD","CUNEIFORM SIGN LAGAB TIMES IM PLUS HA","lagab[q~*]im[q~+]ha"
"𒇎","74190","𒇎","121CE","CUNEIFORM SIGN LAGAB TIMES IM PLUS LU","lagab[q~*]im[q~+]lu"
"𒇏","74191","𒇏","121CF","CUNEIFORM SIGN LAGAB TIMES KI","lagab[q~*]ki"
"𒇐","74192","𒇐","121D0","CUNEIFORM SIGN LAGAB TIMES KIN","lagab[q~*]kin"
"𒇑","74193","𒇑","121D1","CUNEIFORM SIGN LAGAB TIMES KU3","lagab[q~*]ku3"
