Character,Hex,Type,Name,Braille
𒉇,12247,letter,NAM,NAM
𒉈,12248,letter,NAM2,NAM2
𒉉,12249,letter,BI2,BI2
𒉊,1224A,letter,NExA,NExA
𒉋,1224B,letter,NExUD,NExUD
𒉌,1224C,letter,BIL,BIL
𒉍,1224D,letter,I3,I3
𒉎,1224E,letter,NIxE,NIxE
𒉏,1224F,letter,NI2,NI2
𒉐,12250,letter,NUM,NUM
𒉑,12251,letter,NIMxGAN2tenu,NIMxGAN2tenu
𒉒,12252,letter,NIMxGAR+GAN2tenu,NIMxGAR+GAN2tenu
𒉓,12253,letter,NINDA2,NINDA2
𒉔,12254,letter,NINDA2xAN,NINDA2xAN
𒉕,12255,letter,NINDA2xAsh,NINDA2xAsh
𒉖,12256,letter,NINDA2xAsh+Ash,NINDA2xAsh+Ash
𒉗,12257,letter,NINDA2xGUD,NINDA2xGUD
𒉘,12258,letter,NINDA2xME+GAN2tenu,NINDA2xME+GAN2tenu
𒉙,12259,letter,AG,AG
𒉚,1225A,letter,AZU,AZU
𒉛,1225B,letter,NINDA2xshE,NINDA2xshE
𒉹,12279,letter,MUD3,MUD3
𒉻,1227B,letter,GIDRU,GIDRU
𒀁,12001,letter,EDURU,EDURU
𒊘,12298,letter,SAGxDU,SAGxDU
𒊚,1229A,letter,SAGxHA,SAGxHA
𒊛,1229B,letter,SAGxKAK,SAGxKAK
𒊜,1229C,letter,SAGxKUR,SAGxKUR
𒊝,1229D,letter,SAGxLUM,SAGxLUM
𒊞,1229E,letter,SAGxMI,SAGxMI
𒊟,1229F,letter,SAGxNUN,SAGxNUN
𒊠,122A0,letter,SAGxSAL,SAGxSAL
𒊡,122A1,letter,SAGxshID,SAGxshID
𒊢,122A2,letter,SAGxTAB,SAGxTAB
𒊣,122A3,letter,SAGxU2,SAGxU2
𒊤,122A4,letter,SAGxUB,SAGxUB
𒊥,122A5,letter,SAGxUM,SAGxUM
𒊦,122A6,letter,SAGxUR,SAGxUR
𒊧,122A7,letter,SAGxUsh,SAGxUsh
𒊨,122A8,letter,SAG/SAG,SAG/SAG
𒊩,122A9,letter,DUL3,DUL3
𒊪,122AA,letter,MI2,MI2
𒊫,122AB,letter,SALLAGABxAsh2,SALLAGABxAsh2
𒊬,122AC,letter,SANGA2,SANGA2
𒊭,122AD,letter,MU2,MU2
𒊮,122AE,letter,shA,shA
𒊯,122AF,letter,shAG4,shAG4
𒊰,122B0,letter,PEsh4,PEsh4
