Character(decimal),Name,Braille
𒉽,PAP,⠏⠁⠏
𒉾,PESH2,⠏⠑⠎⠓⠼⠃
𒉿,PI,⠏⠊
𒊀,PI TIMES A,⠏⠊⠐⠦⠁
𒊁,PI TIMES AB,⠏⠊⠐⠦⠁⠃
𒊂,PI TIMES BI,⠏⠊⠐⠦⠃⠊
𒊃,PI TIMES BU,⠏⠊⠐⠦⠃⠥
𒊄,PI TIMES E,⠏⠊⠐⠦⠑
𒊅,PI TIMES I,⠏⠊⠐⠦⠊
𒊆,PI TIMES IB,⠏⠊⠐⠦⠊⠃
𒊇,PI TIMES U,⠏⠊⠐⠦⠥
𒊈,PI TIMES U2,⠏⠊⠐⠦⠥⠼⠃
𒊉,PI CROSSING PI,⠏⠊⠈⠯⠏⠊
𒊊,PIRIG,⠏⠊⠗⠊⠛
𒊋,PIRIG TIMES KAL,⠏⠊⠗⠊⠛⠐⠦⠅⠁⠇
𒊌,PIRIG TIMES UD,⠏⠊⠗⠊⠛⠐⠦⠥⠙
𒊍,PIRIG TIMES ZA,⠏⠊⠗⠊⠛⠐⠦⠵⠁
𒊎,PIRIG OPPOSING PIRIG,⠏⠊⠗⠊⠛⠈⠎⠏⠊⠗⠊⠛
𒊏,RA,⠗⠁
𒊐,RAB,⠗⠁⠃
𒊑,RI,⠗⠊
𒊒,RU,⠗⠥
𒊓,SA,⠎⠁
𒊔,SAG NUTILLU,⠎⠁⠛ ⠝⠥⠞⠊⠇⠇⠥
𒊕,SAG,⠎⠁⠛
𒊖,SAG TIMES A,⠎⠁⠛⠐⠦⠁
𒊗,SAG TIMES DU,⠎⠁⠛⠐⠦⠙⠥
𒊘,SAG TIMES DUB,⠎⠁⠛⠐⠦⠙⠥⠃
𒊙,SAG TIMES HA,⠎⠁⠛⠐⠦⠓⠁
𒊚,SAG TIMES KAK,⠎⠁⠛⠐⠦⠅⠁⠅
𒊛,SAG TIMES KUR,⠎⠁⠛⠐⠦⠅⠥⠗
𒊜,SAG TIMES LUM,⠎⠁⠛⠐⠦⠇⠥⠍
𒊝,SAG TIMES MI,⠎⠁⠛⠐⠦⠍⠊
𒊞,SAG TIMES NUN,⠎⠁⠛⠐⠦⠝⠥⠝
𒊟,SAG TIMES SAL,⠎⠁⠛⠐⠦⠎⠁⠇
𒊠,SAG TIMES SHID,⠎⠁⠛⠐⠦⠎⠓⠊⠙
𒊡,SAG TIMES TAB,⠎⠁⠛⠐⠦⠞⠁⠃
𒊢,SAG TIMES U2,⠎⠁⠛⠐⠦⠥⠼⠃
𒊣,SAG TIMES UB,⠎⠁⠛⠐⠦⠥⠃
𒊤,SAG TIMES UM,⠎⠁⠛⠐⠦⠥⠍
𒊥,SAG TIMES UR,⠎⠁⠛⠐⠦⠥⠗
𒊦,SAG TIMES USH,⠎⠁⠛⠐⠦⠥⠎⠓
𒊧,SAG OVER SAG,⠎⠁⠛⠐⠌⠎⠁⠛
𒊨,SAG GUNU,⠎⠁⠛ ⠛⠥⠝⠥
𒊩,SAL,⠎⠁⠇
𒊪,SAL LAGAB TIMES ASH2,⠎⠁⠇ ⠇⠁⠛⠁⠃⠐⠦⠁⠎⠓⠼⠃
𒊫,SANGA2,⠎⠁⠝⠛⠁⠼⠃
𒊬,SAR,⠎⠁⠗
𒊭,SHA,⠎⠓⠁
𒊮,SHA3,⠎⠓⠁⠼⠉
𒊯,SHA3 TIMES A,⠎⠓⠁⠼⠉⠐⠦⠁
𒊰,SHA3 TIMES BAD,⠎⠓⠁⠼⠉⠐⠦⠃⠁⠙
𒊱,SHA3 TIMES GISH,⠎⠓⠁⠼⠉⠐⠦⠛⠊⠎⠓
𒊲,SHA3 TIMES NE,⠎⠓⠁⠼⠉⠐⠦⠝⠑
𒊳,SHA3 TIMES SHU2,⠎⠓⠁⠼⠉⠐⠦⠎⠓⠥⠼⠃
𒊴,SHA3 TIMES TUR,⠎⠓⠁⠼⠉⠐⠦⠞⠥⠗
𒊵,SHA3 TIMES U,⠎⠓⠁⠼⠉⠐⠦⠥
𒊶,SHA3 TIMES U PLUS A,⠎⠓⠁⠼⠉⠐⠦⠥⠐⠖⠁
𒊷,SHA6,⠎⠓⠁⠼⠋
𒊸,SHAB6,⠎⠓⠁⠃⠼⠋
𒊹,SHAR2,⠎⠓⠁⠗⠼⠃
𒊺,SHE,⠎⠓⠑
𒊻,SHE HU,⠎⠓⠑ ⠓⠥
𒊼,SHE OVER SHE GAD OVER GAD GAR OVER GAR,⠎⠓⠑⠐⠌⠎⠓⠑ ⠛⠁⠙⠐⠌⠛⠁⠙ ⠛⠁⠗⠐⠌⠛⠁⠗
𒊽,SHE OVER SHE TAB OVER TAB GAR OVER GAR,⠎⠓⠑⠐⠌⠎⠓⠑ ⠞⠁⠃⠐⠌⠞⠁⠃ ⠛⠁⠗⠐⠌⠛⠁⠗
𒊾,SHEG9,⠎⠓⠑⠛⠼⠊
𒊿,SHEN,⠎⠓⠑⠝
𒋀,SHESH,⠎⠓⠑⠎⠓
𒋁,SHESH2,⠎⠓⠑⠎⠓⠼⠃
𒋂,SHESHLAM,⠎⠓⠑⠎⠓⠇⠁⠍
𒋃,SHID,⠎⠓⠊⠙
𒋄,SHID TIMES A,⠎⠓⠊⠙⠐⠦⠁
𒋅,SHID TIMES IM,⠎⠓⠊⠙⠐⠦⠊⠍
𒋆,SHIM,⠎⠓⠊⠍
𒋇,SHIM TIMES A,⠎⠓⠊⠍⠐⠦⠁
𒋈,SHIM TIMES BAL,⠎⠓⠊⠍⠐⠦⠃⠁⠇
𒋉,SHIM TIMES BULUG,⠎⠓⠊⠍⠐⠦⠃⠥⠇⠥⠛
𒋊,SHIM TIMES DIN,⠎⠓⠊⠍⠐⠦⠙⠊⠝
𒋋,SHIM TIMES GAR,⠎⠓⠊⠍⠐⠦⠛⠁⠗
𒋌,SHIM TIMES IGI,⠎⠓⠊⠍⠐⠦⠊⠛⠊
𒋍,SHIM TIMES IGI GUNU,⠎⠓⠊⠍⠐⠦⠊⠛⠊ ⠛⠥⠝⠥
𒋎,SHIM TIMES KUSHU2,⠎⠓⠊⠍⠐⠦⠅⠥⠎⠓⠥⠼⠃
𒋏,SHIM TIMES LUL,⠎⠓⠊⠍⠐⠦⠇⠥⠇
𒋐,SHIM TIMES MUG,⠎⠓⠊⠍⠐⠦⠍⠥⠛
𒋑,SHIM TIMES SAL,⠎⠓⠊⠍⠐⠦⠎⠁⠇
𒋒,SHINIG,⠎⠓⠊⠝⠊⠛
𒋓,SHIR,⠎⠓⠊⠗
𒋔,SHIR TENU,⠎⠓⠊⠗ ⠞⠑⠝⠥
𒋕,SHIR OVER SHIR BUR OVER BUR,⠎⠓⠊⠗⠐⠌⠎⠓⠊⠗ ⠃⠥⠗⠐⠌⠃⠥⠗
𒋖,SHITA,⠎⠓⠊⠞⠁
𒋗,SHU,⠎⠓⠥
𒋘,SHU OVER INVERTED SHU,⠎⠓⠥⠐⠌⠊⠝⠧⠑⠗⠞⠑⠙ ⠎⠓⠥
𒋙,SHU2,⠎⠓⠥⠼⠃
𒋚,SHUBUR,⠎⠓⠥⠃⠥⠗
𒋛,SI,⠎⠊
𒋜,SI GUNU,⠎⠊ ⠛⠥⠝⠥
𒋝,SIG,⠎⠊⠛
𒋞,SIG4,⠎⠊⠛⠼⠙
𒋟,SIG4 OVER SIG4 SHU2,⠎⠊⠛⠼⠙⠐⠌⠎⠊⠛⠼⠙ ⠎⠓⠥⠼⠃
𒋠,SIK2,⠎⠊⠅⠼⠃
𒋡,SILA3,⠎⠊⠇⠁⠼⠉
𒋢,SU,⠎⠥
𒋣,SU OVER SU,⠎⠥⠐⠌⠎⠥
𒋤,SUD,⠎⠥⠙
𒋥,SUD2,⠎⠥⠙⠼⠃
𒋦,SUHUR,⠎⠥⠓⠥⠗
𒋧,SUM,⠎⠥⠍
𒋨,SUMASH,⠎⠥⠍⠁⠎⠓
𒋩,SUR,⠎⠥⠗
𒋪,SUR9,⠎⠥⠗⠼⠊
𒋫,TA,⠞⠁
𒋬,TA ASTERISK,⠞⠁⠐⠦
𒋭,TA TIMES HI,⠞⠁⠐⠦⠓⠊
𒋮,TA TIMES MI,⠞⠁⠐⠦⠍⠊
𒋯,TA GUNU,⠞⠁ ⠛⠥⠝⠥
𒋰,TAB,⠞⠁⠃
𒋱,TAB OVER TAB NI OVER NI DISH OVER DISH,⠞⠁⠃⠐⠌⠞⠁⠃ ⠝⠊⠐⠌⠝⠊ ⠙⠊⠎⠓⠐⠌⠙⠊⠎⠓
𒋲,TAB SQUARED,⠞⠁⠃⠔⠼⠃
𒋳,TAG,⠞⠁⠛
𒋴,TAG TIMES BI,⠞⠁⠛⠐⠦⠃⠊
𒋵,TAG TIMES GUD,⠞⠁⠛⠐⠦⠛⠥⠙
𒋶,TAG TIMES SHE,⠞⠁⠛⠐⠦⠎⠓⠑
𒋷,TAG TIMES SHU,⠞⠁⠛⠐⠦⠎⠓⠥
𒋸,TAG TIMES TUG2,⠞⠁⠛⠐⠦⠞⠥⠛⠼⠃
𒋹,TAG TIMES UD,⠞⠁⠛⠐⠦⠥⠙
𒋺,TAK4,⠞⠁⠅⠼⠙
𒋻,TAR,⠞⠁⠗
𒋼,TE,⠞⠑
𒋽,TE GUNU,⠞⠑ ⠛⠥⠝⠥
𒋾,TI,⠞⠊
𒋿,TI TENU,⠞⠊ ⠞⠑⠝⠥
𒌀,TIL,⠞⠊⠇
𒌁,TIR,⠞⠊⠗
𒌂,TIR TIMES TAK4,⠞⠊⠗⠐⠦⠞⠁⠅⠼⠙
𒌃,TIR OVER TIR,⠞⠊⠗⠐⠌⠞⠊⠗
𒌄,TIR OVER TIR GAD OVER GAD GAR OVER GAR,⠞⠊⠗⠐⠌⠞⠊⠗ ⠛⠁⠙⠐⠌⠛⠁⠙ ⠛⠁⠗⠐⠌⠛⠁⠗
𒌅,TU,⠞⠥
𒌆,TUG2,⠞⠥⠛⠼⠃
𒌇,TUK,⠞⠥⠅
𒌈,TUM,⠞⠥⠍
𒌉,TUR,⠞⠥⠗
𒌊,TUR OVER TUR ZA OVER ZA,⠞⠥⠗⠐⠌⠞⠥⠗ ⠵⠁⠐⠌⠵⠁
𒌋,U,⠥
𒌌,U GUD,⠥ ⠛⠥⠙
𒌍,U U U,⠥ ⠥ ⠥
𒌎,U OVER U PA OVER PA GAR OVER GAR,⠥⠐⠌⠥ ⠏⠁⠐⠌⠏⠁ ⠛⠁⠗⠐⠌⠛⠁⠗
𒌏,U OVER U SUR OVER SUR,⠥⠐⠌⠥ ⠎⠥⠗⠐⠌⠎⠥⠗
𒌐,U OVER U U REVERSED OVER U REVERSED,⠥⠐⠌⠥ ⠥⠈⠯⠈⠣⠐⠌⠥⠈⠯⠈⠣
𒌑,U2,⠥⠼⠃
𒌒,UB,⠥⠃
𒌓,UD,⠥⠙
𒌔,UD KUSHU2,⠥⠙ ⠅⠥⠎⠓⠥⠼⠃
𒌕,UD TIMES BAD,⠥⠙⠐⠦⠃⠁⠙
𒌖,UD TIMES MI,⠥⠙⠐⠦⠍⠊
𒌗,UD TIMES U PLUS U PLUS U,⠥⠙⠐⠦⠥⠐⠖⠥⠐⠖⠥
𒌘,UD TIMES U PLUS U PLUS U GUNU,⠥⠙⠐⠦⠥⠐⠖⠥⠐⠖⠥ ⠛⠥⠝⠥
𒌙,UD GUNU,⠥⠙ ⠛⠥⠝⠥
𒌚,UD SHESHIG,⠥⠙ ⠎⠓⠑⠎⠓⠊⠛
𒌛,UD SHESHIG TIMES BAD,⠥⠙ ⠎⠓⠑⠎⠓⠊⠛⠐⠦⠃⠁⠙
𒌜,UDUG,⠥⠙⠥⠛
𒌝,UM,⠥⠍
𒌞,UM TIMES LAGAB,⠥⠍⠐⠦⠇⠁⠛⠁⠃
𒌟,UM TIMES ME PLUS DA,⠥⠍⠐⠦⠍⠑⠐⠖⠙⠁
𒌠,UM TIMES SHA3,⠥⠍⠐⠦⠎⠓⠁⠼⠉
𒌡,UM TIMES U,⠥⠍⠐⠦⠥
𒌢,UMBIN,⠥⠍⠃⠊⠝
𒌣,UMUM,⠥⠍⠥⠍
𒌤,UMUM TIMES KASKAL,⠥⠍⠥⠍⠐⠦⠅⠁⠎⠅⠁⠇
𒌥,UMUM TIMES PA,⠥⠍⠥⠍⠐⠦⠏⠁
𒌦,UN,⠥⠝
𒌧,UN GUNU,⠥⠝ ⠛⠥⠝⠥
𒌨,UR,⠥⠗
𒌩,UR CROSSING UR,⠥⠗⠈⠯⠥⠗
𒌪,UR SHESHIG,⠥⠗ ⠎⠓⠑⠎⠓⠊⠛
𒌫,UR2,⠥⠗⠼⠃
𒌬,UR2 TIMES A PLUS HA,⠥⠗⠼⠃⠐⠦⠁⠐⠖⠓⠁
𒌭,UR2 TIMES A PLUS NA,⠥⠗⠼⠃⠐⠦⠁⠐⠖⠝⠁
𒌮,UR2 TIMES AL,⠥⠗⠼⠃⠐⠦⠁⠇
𒌯,UR2 TIMES HA,⠥⠗⠼⠃⠐⠦⠓⠁
𒌰,UR2 TIMES NUN,⠥⠗⠼⠃⠐⠦⠝⠥⠝
𒌱,UR2 TIMES U2,⠥⠗⠼⠃⠐⠦⠥⠼⠃
𒌲,UR2 TIMES U2 PLUS ASH,⠥⠗⠼⠃⠐⠦⠥⠼⠃⠐⠖⠁⠎⠓
𒌳,UR2 TIMES U2 PLUS BI,⠥⠗⠼⠃⠐⠦⠥⠼⠃⠐⠖⠃⠊
𒌴,UR4,⠥⠗⠼⠙
𒌵,URI,⠥⠗⠊
𒌶,URI3,⠥⠗⠊⠼⠉
𒌷,URU,⠥⠗⠥
𒌸,URU TIMES A,⠥⠗⠥⠐⠦⠁
𒌹,URU TIMES ASHGAB,⠥⠗⠥⠐⠦⠁⠎⠓⠛⠁⠃
𒌺,URU TIMES BAR,⠥⠗⠥⠐⠦⠃⠁⠗
𒌻,URU TIMES DUN,⠥⠗⠥⠐⠦⠙⠥⠝
𒌼,URU TIMES GA,⠥⠗⠥⠐⠦⠛⠁
𒌽,URU TIMES GAL,⠥⠗⠥⠐⠦⠛⠁⠇
𒌾,URU TIMES GAN2 TENU,⠥⠗⠥⠐⠦⠛⠁⠝⠼⠃ ⠞⠑⠝⠥
𒌿,URU TIMES GAR,⠥⠗⠥⠐⠦⠛⠁⠗
𒍀,URU TIMES GU,⠥⠗⠥⠐⠦⠛⠥
𒍁,URU TIMES HA,⠥⠗⠥⠐⠦⠓⠁
𒍂,URU TIMES IGI,⠥⠗⠥⠐⠦⠊⠛⠊
𒍃,URU TIMES IM,⠥⠗⠥⠐⠦⠊⠍
𒍄,URU TIMES ISH,⠥⠗⠥⠐⠦⠊⠎⠓
𒍅,URU TIMES KI,⠥⠗⠥⠐⠦⠅⠊
𒍆,URU TIMES LUM,⠥⠗⠥⠐⠦⠇⠥⠍
𒍇,URU TIMES MIN,⠥⠗⠥⠐⠦⠍⠊⠝
𒍈,URU TIMES PA,⠥⠗⠥⠐⠦⠏⠁
𒍉,URU TIMES SHE,⠥⠗⠥⠐⠦⠎⠓⠑
𒍊,URU TIMES SIG4,⠥⠗⠥⠐⠦⠎⠊⠛⠼⠙
𒍋,URU TIMES TU,⠥⠗⠥⠐⠦⠞⠥
𒍌,URU TIMES U PLUS GUD,⠥⠗⠥⠐⠦⠥⠐⠖⠛⠥⠙
𒍍,URU TIMES UD,⠥⠗⠥⠐⠦⠥⠙
𒍎,URU TIMES URUDA,⠥⠗⠥⠐⠦⠥⠗⠥⠙⠁
𒍏,URUDA,⠥⠗⠥⠙⠁
𒍐,URUDA TIMES U,⠥⠗⠥⠙⠁⠐⠦⠥
𒍑,USH,⠥⠎⠓
𒍒,USH TIMES A,⠥⠎⠓⠐⠦⠁
𒍓,USH TIMES KU,⠥⠎⠓⠐⠦⠅⠥
𒍔,USH TIMES KUR,⠥⠎⠓⠐⠦⠅⠥⠗
𒍕,USH TIMES TAK4,⠥⠎⠓⠐⠦⠞⠁⠅⠼⠙
𒍖,USHX,⠥⠎⠓⠭
𒍗,USH2,⠥⠎⠓⠼⠃
𒍘,USHUMX,⠥⠎⠓⠥⠍⠭
𒍙,UTUKI,⠥⠞⠥⠅⠊
𒍚,UZ3,⠥⠵⠼⠉
𒍛,UZ3 TIMES KASKAL,⠥⠵⠼⠉⠐⠦⠅⠁⠎⠅⠁⠇
𒍜,UZU,⠥⠵⠥
𒍝,ZA,⠵⠁
𒍞,ZA TENU,⠵⠁ ⠞⠑⠝⠥
𒍟,ZA SQUARED TIMES KUR,⠵⠁⠔⠼⠃⠐⠦⠅⠥⠗
𒍠,ZAG,⠵⠁⠛
𒍡,ZAMX,⠵⠁⠍⠭
𒍢,ZE2,⠵⠑⠼⠃
𒍣,ZI,⠵⠊
𒍤,ZI OVER ZI,⠵⠊⠐⠌⠵⠊
𒍥,ZI3,⠵⠊⠼⠉
𒍦,ZIB,⠵⠊⠃
𒍧,ZIB KABA TENU,⠵⠊⠃ ⠅⠁⠃⠁ ⠞⠑⠝⠥
𒍨,ZIG,⠵⠊⠛
𒍩,ZIZ2,⠵⠊⠵⠼⠃
𒍪,ZU,⠵⠥
𒍫,ZU5,⠵⠥⠼⠑
𒍬,ZU5 TIMES A,⠵⠥⠼⠑⠐⠦⠁
𒍭,ZUBUR,⠵⠥⠃⠥⠗
𒍮,ZUM,⠵⠥⠍
𒍯,KAP ELAMITE,⠅⠁⠏ ⠑⠇⠁⠍⠊⠞⠑
𒍰,AB TIMES NUN,⠁⠃⠐⠦⠝⠥⠝
𒍱,AB2 TIMES A,⠁⠃⠼⠃⠐⠦⠁
𒍲,AMAR TIMES KUG,⠁⠍⠁⠗⠐⠦⠅⠥⠛
𒍳,DAG KISIM5 TIMES U2 PLUS MASH,⠙⠁⠛ ⠅⠊⠎⠊⠍⠼⠑⠐⠦⠥⠼⠃⠐⠖⠍⠁⠎⠓
𒍴,DAG3,⠙⠁⠛⠼⠉
𒍵,DISH PLUS SHU,⠙⠊⠎⠓⠐⠖⠎⠓⠥
𒍶,DUB TIMES SHE,⠙⠥⠃⠐⠦⠎⠓⠑
𒍷,EZEN TIMES GUD,⠑⠵⠑⠝⠐⠦⠛⠥⠙
𒍸,EZEN TIMES SHE,⠑⠵⠑⠝⠐⠦⠎⠓⠑
𒍹,GA2 TIMES AN PLUS KAK PLUS A,⠛⠁⠼⠃⠐⠦⠁⠝⠐⠖⠅⠁⠅⠐⠖⠁
𒍺,GA2 TIMES ASH2,⠛⠁⠼⠃⠐⠦⠁⠎⠓⠼⠃
𒍻,GE22,⠛⠑⠼⠃⠼⠃
𒍼,GIG,⠛⠊⠛
𒍽,HUSH,⠓⠥⠎⠓
𒍾,KA TIMES ANSHE,⠅⠁⠐⠦⠁⠝⠎⠓⠑
𒍿,KA TIMES ASH3,⠅⠁⠐⠦⠁⠎⠓⠼⠉
𒎀,KA TIMES GISH,⠅⠁⠐⠦⠛⠊⠎⠓
𒎁,KA TIMES GUD,⠅⠁⠐⠦⠛⠥⠙
𒎂,KA TIMES HI TIMES ASH2,⠅⠁⠐⠦⠓⠊⠐⠦⠁⠎⠓⠼⠃
𒎃,KA TIMES LUM,⠅⠁⠐⠦⠇⠥⠍
𒎄,KA TIMES PA,⠅⠁⠐⠦⠏⠁
𒎅,KA TIMES SHUL,⠅⠁⠐⠦⠎⠓⠥⠇
𒎆,KA TIMES TU,⠅⠁⠐⠦⠞⠥
𒎇,KA TIMES UR2,⠅⠁⠐⠦⠥⠗⠼⠃
𒎈,LAGAB TIMES GI,⠇⠁⠛⠁⠃⠐⠦⠛⠊
𒎉,LU2 SHESHIG TIMES BAD,⠇⠥⠼⠃ ⠎⠓⠑⠎⠓⠊⠛⠐⠦⠃⠁⠙
𒎊,LU2 TIMES ESH2 PLUS LAL,⠇⠥⠼⠃⠐⠦⠑⠎⠓⠼⠃⠐⠖⠇⠁⠇
𒎋,LU2 TIMES SHU,⠇⠥⠼⠃⠐⠦⠎⠓⠥
𒎌,MESH,⠍⠑⠎⠓
𒎍,MUSH3 TIMES ZA,⠍⠥⠎⠓⠼⠉⠐⠦⠵⠁
𒎎,NA4,⠝⠁⠼⠙
𒎏,NIN,⠝⠊⠝
𒎐,NIN9,⠝⠊⠝⠼⠊
𒎑,NINDA2 TIMES BAL,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠃⠁⠇
𒎒,NINDA2 TIMES GI,⠝⠊⠝⠙⠁⠼⠃⠐⠦⠛⠊
𒎓,NU11 ROTATED NINETY DEGREES,⠝⠥⠼⠁⠼⠁⠨⠴
𒎔,PESH2 ASTERISK,⠏⠑⠎⠓⠼⠃⠐⠦
𒎕,PIR2,⠏⠊⠗⠼⠃
𒎖,SAG TIMES IGI GUNU,⠎⠁⠛⠐⠦⠊⠛⠊ ⠛⠥⠝⠥
𒎗,TI2,⠞⠊⠼⠃
𒎘,UM TIMES ME,⠥⠍⠐⠦⠍⠑
𒎙,U,⠥
