Character,Hex,Type,Name,Braille
יֳּ,05D9+05B3+05BC,always,Yod dagesh  hataf qamats,⠐⠚⠜
שֳׂ,05E9+05B3+05C2,always,sin with hataf qamats,⠱⠜
שֲׂ,05E9+05B2+05C2,always,sin with hataf patah,⠱⠒
תְּ,05EA+05BC+05B0,always,tav with dagesh sheva,⠳⠄
שָׂ,05E9+05B8+05C2,always,sin with qamats,⠱⠣
שַׂ,05E9+05B7+05C2,always,sin,⠱⠉
שֶׂ,05E9+05B6+05C2,always,sin,⠱⠑
שֵׂ,05E9+05B5+05C2,always,sin,⠱⠌
חֳּ,05D7+05B3+05BC,always,Hex dagesh  hataf qamats,⠐⠭⠜
בֶּ,05D1+05B6+05BC,always,bet  dagesh with segol,⠃⠑
בֵּ,05D1+05B5+05BC,always,bet with dagesh,⠃⠌
בִּ,05D1+05B4+05BC,always,bet  dagesh with hiriq,⠃⠊
פֶּ,05E4+05B6+05BC,always,pe with dagesh,⠏⠑
שֱׁ,05E9+05B1+05C1,always,shin with dot and hataf segol,⠐⠩⠢
מַּ,05DE+05B7+05BC,always,mem  dagesh with patah,⠐⠍⠉
כֳּ,05DB+05B3+05BC,always,kaf dagesh with hataf qamats,⠅⠜
שֳׁ,05E9+05B3+05C1,always,shin with dot and hataf qamats,⠩⠜
שֲׁ,05E9+05B2+05C1,always,shin with dot and hataf patah,⠩⠒
מֵּ,05DE+05B5+05BC,always,mem  dagesh with tsere,⠐⠍⠌
לֲּ,05DC+05B2+05BC,always,lamed dagesh with hataf patah,⠐⠇⠒
מֶּ,05DE+05B6+05BC,always,mem  dagesh with segol,⠐⠍⠑
שֱׂ,05E9+05B1+05C2,always,sin with hataf segol,⠱⠢
רֲּ,05E8+05B2+05BC,always,resh dagesh with hataf patah,⠐⠗⠒
קֱּ,05E7+05B1+05BC,always,qof dagesh  hataf segol,⠐⠟⠢
לֵּ,05DC+05B5+05BC,always,lamed with dagesh,⠐⠇⠌
קָּ,05E7+05B8+05BC,always,qof dagesh  qamats,⠐⠟⠣
קַּ,05E7+05B7+05BC,always,qof  dagesh with patah,⠐⠟⠉
קֶּ,05E7+05B6+05BC,always,qof  dagesh with segol,⠐⠟⠑
קֵּ,05E7+05B5+05BC,always,qof  dagesh with tsere,⠐⠟⠌
קִּ,05E7+05B4+05BC,always,qof  dagesh with hiriq,⠐⠟⠊
קֳּ,05E7+05B3+05BC,always,qof dagesh with hataf qamats,⠐⠟⠜
קֲּ,05E7+05B2+05BC,always,qof dagesh with hataf patah,⠐⠟⠒
קֱּ,05E7+05B1+05BC,always,qof dagesh with hataf segol,⠐⠟⠢
